"filename","year","species","sitetype","volume","detections_algo1_50q_40s","detections_algo1_60q_50s","detections_algo1_70q_60s","detections_algo2_50q_40s","detections_algo2_60q_50s","detections_algo2_70q_60s"
"113","Sound P14-C02-237_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114","Sound P14-C02-237_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"115","Sound P14-C02-262_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116","Sound P14-C02-262_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117","Sound P14-C02-262_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118","Sound P14-C02-287_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"119","Sound P14-C02-287_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"120","Sound P14-C02-287_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"121","Sound P14-C02-312_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122","Sound P14-C02-312_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123","Sound P14-C02-312_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"124","Sound P14-C02-337_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"125","Sound P14-C02-337_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"126","Sound P14-C02-337_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"127","Sound P14-C02-362_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"128","Sound P14-C02-362_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"129","Sound P14-C02-362_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"130","Sound P14-C02-37_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"131","Sound P14-C02-37_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"132","Sound P14-C02-37_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"133","Sound P14-C02-387_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134","Sound P14-C02-387_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"135","Sound P14-C02-387_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136","Sound P14-C02-412_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"137","Sound P14-C02-462_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138","Sound P14-C02-462_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"139","Sound P14-C02-462_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140","Sound P14-C02-512_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141","Sound P14-C02-512_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142","Sound P14-C02-512_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"143","Sound P14-C02-562_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144","Sound P14-C02-562_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"145","Sound P14-C02-562_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146","Sound P14-C02-612_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"147","Sound P14-C02-612_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"148","Sound P14-C02-612_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"149","Sound P14-C02-62_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"150","Sound P14-C02-62_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151","Sound P14-C02-62_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"152","Sound P14-C02-662_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"153","Sound P14-C02-662_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"154","Sound P14-C02-662_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155","Sound P14-C02-712_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"156","Sound P14-C02-712_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"157","Sound P14-C02-712_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"158","Sound P14-C02-762_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"159","Sound P14-C02-762_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"160","Sound P14-C02-762_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"161","Sound P14-C02-812_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"162","Sound P14-C02-812_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"163","Sound P14-C02-812_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"164","Sound P14-C02-87_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"165","Sound P14-C02-87_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"166","Sound P14-C02-87_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"167","Sound P14-C02-912_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"168","Sound P14-C02-912_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"169","Sound P14-C02-912_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"170","Sound P14-C04-1012_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"171","Sound P14-C04-1012_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"172","Sound P14-C04-1012_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"173","Sound P14-C04-1112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"174","Sound P14-C04-1112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"175","Sound P14-C04-1112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"176","Sound P14-C04-112_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"177","Sound P14-C04-112_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"178","Sound P14-C04-112_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"179","Sound P14-C04-12_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"180","Sound P14-C04-12_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"181","Sound P14-C04-12_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"182","Sound P14-C04-1212_5m_TEWA80dB.wav",2014,"TEWA","coniferous",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"183","Sound P14-C04-1212_5m_TEWA85dB.wav",2014,"TEWA","coniferous",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"184","Sound P14-C04-1212_5m_TEWA90dB.wav",2014,"TEWA","coniferous",90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
